,BC_Run_State,EquipCode,Equip_Work_Time_Total,bc1174,bc120,bc124,bc125,bc1304,bc_total_consumption,time
126,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:24+08:00
127,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:25+08:00
128,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:26+08:00
129,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:27+08:00
130,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:28+08:00
131,0.0,19BC52303373,0.03,55.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:29+08:00
132,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:30+08:00
133,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:31+08:00
134,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:32+08:00
135,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:33+08:00
136,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:34+08:00
137,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:35+08:00
138,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:36+08:00
139,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:37+08:00
140,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:38+08:00
141,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:39+08:00
142,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:40+08:00
143,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:41+08:00
144,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:42+08:00
145,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:43+08:00
146,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:44+08:00
147,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:45+08:00
148,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:46+08:00
149,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:18:47+08:00
150,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:19:49+08:00
151,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:19:50+08:00
152,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:19:51+08:00
153,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:19:52+08:00
154,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:19:53+08:00
155,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:19:55+08:00
156,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:19:57+08:00
157,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:19:58+08:00
158,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,9.0,2019-08-12T18:20:00+08:00
159,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:20:01+08:00
160,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:20:02+08:00
161,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:20:03+08:00
162,0.0,19BC52303373,0.03,54.0,52.0,0.0,0.0,0.0,,2019-08-12T18:21:04+08:00
163,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,9.0,2019-08-12T18:21:05+08:00
164,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:21:06+08:00
165,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:21:07+08:00
166,0.0,19BC52303373,0.03,54.0,3.0,0.0,0.0,0.0,,2019-08-12T18:21:08+08:00
