调试在线-数据导出,,,,,,,,,,,
time,GPS纬度,GPS经度,GPS定位时间,液压油温,泵送排量,累计油耗,转向次数,发动机转速,系统压力,累计时间,泵车状态
2019-07-23 08:15:40.53,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:41.45,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:42.49,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:43.65,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:44.49,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:45.65,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:46.59,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:47.79,28.24,113.09,,,0,,0,0,,0.02,0
2019-07-23 08:15:48.69,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:49.57,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:50.55,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:51.77,28.24,113.09,,,0,,0,0,,0.02,0
2019-07-23 08:15:52.61,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:53.73,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:54.73,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:55.85,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:56.81,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:15:57.93,28.24,113.09,,,0,,0,0,,0.02,0
2019-07-23 08:15:58.83,28.24,113.09,,37,0,10,0,0,0,0.02,0
2019-07-23 08:16:00.35,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:01.24,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:02.29,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:03.41,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:04.11,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:05.43,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:06.37,28.24,113.09,,37,,,,0,0,,
2019-07-23 08:16:07.41,28.24,113.09,,,0,,0,0,,0.02,0
2019-07-23 08:16:08.43,28.24,113.09,,,0,,0,0,,0.02,0
2019-07-23 08:16:09.49,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:09.87,28.24,113.09,,,,,,,,,
2019-07-23 08:16:11.27,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:12.45,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:13.21,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:14.17,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:14.91,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:16.71,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:17.57,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:18.37,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:18.97,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:20.17,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:21.37,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:22.27,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:23.25,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:24.07,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:25.45,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:26.99,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:28.13,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:28.77,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:29.97,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:30.85,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:31.63,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:32.33,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:33.85,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:34.73,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:35.89,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:37.01,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:37.93,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:38.87,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:40.25,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:41.01,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:41.80,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:43.07,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:43.69,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:44.73,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:45.75,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:46.45,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:47.79,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:48.62,28.24,113.09,,37,,,,0,0,,
2019-07-23 08:16:49.27,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:50.01,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:51.04,28.24,113.09,,37,0,,0,,0,0.02,0
2019-07-23 08:16:52.07,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:53.17,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:54.16,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:55.45,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:56.11,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:57.11,28.24,113.09,,37,,,,0,0,,
2019-07-23 08:16:58.28,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:16:59.32,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:17:00.57,28.24,113.09,,37,0,10,0,0,0,0.02,0
2019-07-23 08:17:01.28,28.24,113.09,,37,0,,0,0,0,0.02,0
2019-07-23 08:17:02.41,28.24,113.09,,37,0,,0,0,0,0.02,0
